loan_id,loan_default
7001,0
7002,0
7003,0
7004,0
7005,0
7006,0
7007,0
7008,1
7009,1
7010,1
7011,0
7012,1
7013,0
7014,1
7015,1
7016,0
7017,1
7018,1
7019,0
7020,1
7021,0
7022,1
7023,1
7024,1
7025,0
7026,0
7027,0
7028,0
7029,0
7030,0
7031,0
7032,0
7033,0
7034,1
7035,1
7036,0
7037,0
7038,1
7039,0
7040,0
7041,0
7042,1
7043,1
7044,0
7045,1
7046,0
7047,0
7048,1
7049,0
7050,0
7051,0
7052,0
7053,0
7054,0
7055,1
7056,1
7057,1
7058,0
7059,0
7060,1
7061,0
7062,0
7063,0
7064,0
7065,1
7066,1
7067,0
7068,0
7069,1
7070,1
7071,0
7072,1
7073,0
7074,0
7075,0
7076,0
7077,1
7078,0
7079,0
7080,0
7081,0
7082,0
7083,1
7084,0
7085,0
7086,1
7087,0
7088,0
7089,1
7090,0
7091,0
7092,0
7093,0
7094,0
7095,0
7096,0
7097,0
7098,1
7099,0
7100,0
7101,1
7102,1
7103,1
7104,1
7105,1
7106,0
7107,1
7108,0
7109,1
7110,1
7111,1
7112,1
7113,1
7114,1
7115,0
7116,1
7117,0
7118,1
7119,0
7120,0
7121,0
7122,1
7123,0
7124,0
7125,1
7126,1
7127,0
7128,1
7129,1
7130,1
7131,0
7132,0
7133,1
7134,1
7135,0
7136,1
7137,0
7138,1
7139,0
7140,1
7141,0
7142,0
7143,0
7144,0
7145,0
7146,0
7147,0
7148,1
7149,0
7150,0
7151,0
7152,0
7153,0
7154,1
7155,0
7156,0
7157,0
7158,1
7159,0
7160,0
7161,0
7162,1
7163,0
7164,0
7165,1
7166,1
7167,0
7168,0
7169,0
7170,0
7171,1
7172,0
7173,1
7174,1
7175,1
7176,0
7177,1
7178,0
7179,0
7180,0
7181,1
7182,0
7183,1
7184,0
7185,0
7186,1
7187,0
7188,1
7189,0
7190,1
7191,0
7192,0
7193,1
7194,0
7195,0
7196,1
7197,1
7198,0
7199,0
7200,1
7201,0
7202,1
7203,1
7204,1
7205,0
7206,0
7207,0
7208,1
7209,1
7210,1
7211,0
7212,0
7213,1
7214,0
7215,1
7216,1
7217,1
7218,0
7219,1
7220,0
7221,1
7222,0
7223,1
7224,0
7225,0
7226,1
7227,0
7228,1
7229,0
7230,0
7231,1
7232,1
7233,0
7234,1
7235,1
7236,1
7237,1
7238,1
7239,1
7240,1
7241,0
7242,0
7243,0
7244,1
7245,1
7246,1
7247,1
7248,1
7249,1
7250,1
7251,0
7252,1
7253,0
7254,0
7255,0
7256,0
7257,1
7258,1
7259,1
7260,0
7261,0
7262,1
7263,0
7264,0
7265,1
7266,1
7267,1
7268,0
7269,1
7270,1
7271,1
7272,0
7273,1
7274,0
7275,1
7276,0
7277,0
7278,0
7279,0
7280,1
7281,0
7282,0
7283,1
7284,0
7285,1
7286,0
7287,0
7288,1
7289,0
7290,0
7291,1
7292,0
7293,1
7294,1
7295,0
7296,1
7297,0
7298,1
7299,0
7300,1
7301,1
7302,0
7303,1
7304,1
7305,0
7306,1
7307,1
7308,1
7309,0
7310,1
7311,0
7312,0
7313,0
7314,0
7315,1
7316,1
7317,1
7318,0
7319,0
7320,0
7321,1
7322,1
7323,0
7324,1
7325,1
7326,0
7327,0
7328,0
7329,1
7330,0
7331,1
7332,0
7333,0
7334,0
7335,0
7336,0
7337,1
7338,0
7339,0
7340,1
7341,0
7342,0
7343,1
7344,0
7345,1
7346,1
7347,1
7348,0
7349,1
7350,1
7351,0
7352,0
7353,0
7354,1
7355,0
7356,1
7357,1
7358,1
7359,0
7360,0
7361,0
7362,1
7363,1
7364,1
7365,1
7366,1
7367,1
7368,1
7369,1
7370,0
7371,1
7372,0
7373,0
7374,1
7375,0
7376,1
7377,0
7378,1
7379,0
7380,1
7381,0
7382,0
7383,1
7384,1
7385,0
7386,0
7387,1
7388,1
7389,1
7390,0
7391,1
7392,1
7393,1
7394,0
7395,0
7396,1
7397,1
7398,1
7399,1
7400,1
7401,1
7402,0
7403,1
7404,0
